slice,ts_ms,iso,filled_qty,slice_target_qty,slice_vwap,levels_touched
1,1755510828273,2025-08-18T09:53:48.273000+00:00,2.5,2.5,4304.4,1
2,1755510829873,2025-08-18T09:53:49.873000+00:00,2.5,2.5,4304.4,1
3,1755510832873,2025-08-18T09:53:52.873000+00:00,2.5,2.5,4305.26376,6
4,1755510835873,2025-08-18T09:53:55.873000+00:00,2.5,2.5,4306.92616,17
5,1755510838873,2025-08-18T09:53:58.873000+00:00,2.5,2.5,4307.48,1
6,1755510842876,2025-08-18T09:54:02.876000+00:00,2.5,2.5,4307.2998,13
7,1755510845873,2025-08-18T09:54:05.873000+00:00,2.5,2.5,4301.3,1
8,1755510848873,2025-08-18T09:54:08.873000+00:00,2.5,2.5,4301.39708,8
9,1755510851877,2025-08-18T09:54:11.877000+00:00,2.5,2.5,4299.345920000001,18
10,1755510854873,2025-08-18T09:54:14.873000+00:00,2.5,2.5,4298.07,1
11,1755510857874,2025-08-18T09:54:17.874000+00:00,2.5,2.5,4298.16,1
12,1755510860874,2025-08-18T09:54:20.874000+00:00,2.5,2.5,4299.89,1
13,1755510863873,2025-08-18T09:54:23.873000+00:00,2.5,2.5,4298.76,1
14,1755510866873,2025-08-18T09:54:26.873000+00:00,2.5,2.5,4298.69,1
15,1755510869874,2025-08-18T09:54:29.874000+00:00,2.5,2.5,4297.91,1
16,1755510873873,2025-08-18T09:54:33.873000+00:00,2.5,2.5,4298.42,1
17,1755510876873,2025-08-18T09:54:36.873000+00:00,2.5,2.5,4299.01,1
18,1755510879874,2025-08-18T09:54:39.874000+00:00,2.5,2.5,4299.6,1
19,1755510882873,2025-08-18T09:54:42.873000+00:00,2.5,2.5,4301.974,6
20,1755510885873,2025-08-18T09:54:45.873000+00:00,2.5,2.5,4301.038640000001,3
